ingredient_id,nutrient_id,amount_per_100g
ing_chicken,nut_protein,31.0
ing_chicken,nut_carbs,0.0
ing_chicken,nut_fat,3.6
ing_chicken,nut_vitc,0.0
ing_chicken,nut_iron,1.0
ing_rice,nut_protein,2.6
ing_rice,nut_carbs,23.0
ing_rice,nut_fat,0.9
ing_rice,nut_vitc,0.0
ing_rice,nut_iron,0.5
ing_olive,nut_protein,0.0
ing_olive,nut_carbs,0.0
ing_olive,nut_fat,100.0
ing_olive,nut_vitc,0.0
ing_olive,nut_iron,0.6
ing_broccoli,nut_protein,2.8
ing_broccoli,nut_carbs,6.6
ing_broccoli,nut_fat,0.4
ing_broccoli,nut_vitc,89.2
ing_broccoli,nut_iron,0.7
ing_egg,nut_protein,13.0
ing_egg,nut_carbs,1.1
ing_egg,nut_fat,11.0
ing_egg,nut_vitc,0.0
ing_egg,nut_iron,1.8
ing_oats,nut_protein,17.0
ing_oats,nut_carbs,66.0
ing_oats,nut_fat,7.0
ing_oats,nut_vitc,0.0
ing_oats,nut_iron,4.7
